1,China,43
2,Denmark,57
3,Denmark/Sweden,57
4,Netherlands,147
5,United States,218
6,Finland,70
7,Norway,152
8,Romania,171
9,Estonia,66
10,France,71
11,Taifun,152
12,Morocco,127
13,Spain,65
14,Egypt,62
15,Iran,96
16,Bulgaria,34
17,Italy,102
18,Chad,41
19,Azerbaijan,16
20,Sudan,191
21,Russia,173
22,Argentina,10
23,Cuba,54
24,Belarus,27
25,Greece,83
26,Cameroon,45
27,Turkey,209
28,Chile,42
29,Mexico,132
30,Soviet Union,216
31,Nicaragua,146
32,Hungary,92
33,Nigeria,150
34,Algeria,5
35,Kuwait,114
36,Bahrain,32
37,Pakistan,156
38,Iraq,98
39,United Arab Republic,212
40,Lebanon,121
41,Qatar,168
42,Malaysia,128
43,Germany,81
44,Thessalonki-1,83
45,Canada,38
46,Ireland,97
47,Australia,14
48,South Africa,172
49,Eritrea,63
50,Tanzania,198
51,Jordan,105
52,Tunisia,208
53,Libya,117
54,Belgium,21
55,Djibouti,58
56,Palestine,161
57,Comoros,49
58,Kazakhstan,107
59,Brunei,33
60,India,94
61,Saudi Arabia,113
62,Syria,197
63,Maldives,131
64,Ethiopia,67
65,United Arab Emirates,211
66,North Yemen,226
67,Indonesia,93
68,Philippines,160
69,Singapore,232
70,Uzbekistan,219
71,Kyrgyzstan,109
72,Tajikistan,202
73,Unified Team,68
74,Japan,106
75,Japan-1,106
76,Congo (Brazzaville),40
77,Switzerland,192
78,Brazil,31
79,West Germany,72
80,East Germany,78
81,Monaco,139
82,Fornebo,152
83,Israel,100
84,Vesper Boat Club,218
85,Uruguay,217
86,Sweden,195
87,United States Virgin Islands,101
88,Sri Lanka,188
89,Armenia,11
90,Cote d'Ivoire,44
91,Kenya,108
92,Benin,22
93,France-1,71
94,Ukraine,214
95,Great Britain,76
96,Ghana,82
97,Somalia,186
98,Latvia,116
99,Niger,151
100,Mali,136
101,Afghanistan,2
102,Poland,164
103,Costa Rica,51
104,Panama,157
105,Georgia,79
106,Slovenia,183
107,Croatia,52
108,Russia-2,173
109,Russia-1,173
110,Guyana,88
111,New Zealand,154
112,Portugal,165
113,Paraguay,158
114,Angola,7
115,Venezuela,221
116,Colombia,48
117,Bangladesh,18
118,Peru,159
119,El Salvador,64
120,Puerto Rico,167
121,France-2,71
122,Uganda,213
123,Switzerland-2,192
124,Switzerland-1,192
125,Honduras,91
126,Ecuador,61
127,Turkmenistan,203
128,Mauritius,141
129,Seychelles,179
130,Czechoslovakia,199
131,Great Britain-1,76
132,Luxembourg,124
133,Mauritania,142
134,Czech Republic,56
135,Saint Kitts and Nevis,181
136,New York Athletic Club #2-4,218
137,Trinidad and Tobago,207
138,Dominican Republic,60
139,Saint Vincent and the Grenadines,223
140,Mystery,218
141,Jamaica,104
142,Liberia,118
143,Suriname,193
144,Nigeria-2,150
145,Nepal,148
146,Mongolia,133
147,Germany-2,81
148,Austria,15
149,Clementine V,31
150,Bylina-2,173
151,Palau,162
152,Lithuania,123
153,Togo,205
154,Namibia,144
155,Netherlands Antilles,3
156,Iceland,99
157,American Samoa,13
158,Samoa,176
159,Rwanda,174
160,Dominica,59
161,Great Britain-2,76
162,Haiti,89
163,Stella-2,152
164,Malta,137
165,United States-1,218
166,United States-2,218
167,Argentina-2,10
168,"Large boat, Central Naval Prep School ""Poros""-1",83
169,Cyprus,55
170,Guinea,86
171,Xolotl,132
172,Belize,26
173,Matrero II,10
174,Blue Red,10
175,Gteborgs Roddklubb-1,195
176,Indonesia-1,93
177,Germany-1,81
178,South Yemen,228
179,South Korea,111
180,Lucky Girl-1,70
181,Mutafo,81
182,Sweden-2,195
183,Sweden-1,195
184,Thailand,201
185,Italy-2,102
186,Yeoman VII,76
187,Yeoman XII,76
188,Bermuda,23
189,Australasia,9
190,Union des Socits Franais de Sports Athletiques,71
191,Serbia and Montenegro,177
192,Sierra Leone,182
193,Bissbi,195
194,Papua New Guinea,163
195,Greece-3,83
196,Yemen,227
197,Individual Olympic Athletes,95
198,Oman,155
199,Fiji,69
200,Vanuatu,220
201,France-3,71
202,Martha-27,71
203,Martha-1,71
204,Moldova,130
205,Canada-2,38
206,Canada-1,38
207,Yugoslavia,229
208,Bahamas,17
209,Guatemala,85
210,Burevestnik,216
211,Druzhba,216
212,Soviet Union-2,216
213,Soviet Union-1,216
214,Olen,216
215,Serbia,187
216,British Virgin Islands,103
217,Mozambique,140
218,Heatherbell,70
219,Central African Republic,36
220,Madagascar,125
221,Malaya,126
222,Socit Nautique de Bayonne,71
223,Bosnia and Herzegovina,25
224,Guam,87
225,Brazil-1,31
226,Cayman Islands,39
227,Cupidon Viking,71
228,Damoiselle,71
229,Slovakia,194
